"Površina vinogradov in število sadik po starostnih razredih, vinorodne dežele in okoliši, Slovenija, 2009 in 2015"

" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"do 1 leta";" ";"1 do 2 let";" ";"3 do 5 let";" ";"6 do 9 let";" ";"10 do 19 let";" ";"20 do 29 let";" ";"30 + let";" ";"Ni podatka";" ";"do 1 leta";" ";"1 do 2 let";" ";"3 do 5 let";" ";"6 do 9 let";" ";"10 do 19 let";" ";"20 do 29 let";" ";"30 + let";" ";"Ni podatka";" "
" ";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)";"Površina (ha)";"Število sadik (v 1000)"
"SLOVENIJA";z;1378.7;586.9;2410.5;1422.8;5684.1;1763.0;7105.7;4474.0;16823.6;4053.8;13408.9;3712.3;12102.6;z;0.0;258.3;1030.8;598.1;2403.1;798.3;3184.2;1412.5;5729.2;4928.4;19334.1;3018.8;10883.5;4673.6;15178.2;-;-
"Podravje";z;452.8;z;1011.5;406.5;1646.6;631.3;2681.9;1873.5;7758.0;2245.1;7758.8;1425.0;4904.0;z;0.0;79.0;302.2;237.2;918.2;381.9;1493.8;535.6;2160.0;1753.8;7256.5;1506.3;5730.6;2022.0;6940.9;-;-
"Podravje- Štajerska Slovenija";106.3;423.9;231.9;934.1;389.6;1568.8;586.6;2476.0;1674.7;6824.6;2068.8;6901.7;1321.1;4426.4;-;-;77.3;295.0;229.4;884.4;368.0;1428.2;500.6;1998.8;1617.4;6647.2;1322.3;4935.7;1876.1;6302.9;-;-
"Podravje- Prekmurje";z;28.9;z;77.4;16.8;77.8;44.7;205.9;198.8;933.4;176.3;857.1;104.0;477.6;z;0.0;1.7;7.2;7.9;33.9;13.9;65.6;35.0;161.3;136.4;609.4;184.0;794.9;145.9;638.0;-;-
"Posavje";z;231.4;z;472.8;199.9;878.5;315.0;1411.4;525.3;2299.4;563.1;2210.6;984.3;3758.5;-;-;z;z;z;z;z;z;244.1;1069.7;744.1;3221.3;409.0;1699.7;1139.7;4259.4;-;-
"Posavje- Bizeljsko Sremiè";8.6;37.5;33.4;138.5;49.0;196.3;66.9;272.4;194.0;807.6;226.2;786.2;329.4;1113.8;-;-;10.6;48.0;32.5;138.6;59.4;245.6;58.3;240.5;203.8;830.0;143.8;562.1;356.8;1179.6;-;-
"Posavje- Bela krajina";z;6.2;z;52.1;24.1;108.6;37.4;166.4;95.2;411.1;82.9;344.9;114.1;440.0;-;-;z;z;z;z;z;z;25.9;114.3;95.8;414.3;79.1;329.5;154.8;590.1;-;-
"Posavje- Dolenjska";41.7;187.7;61.5;282.1;126.7;573.7;210.8;972.7;236.1;1080.7;254.1;1079.5;540.9;2204.6;-;-;22.9;98.4;33.2;144.5;44.9;194.7;159.8;714.9;444.5;1976.9;186.0;808.1;628.2;2489.7;-;-
"Primorje";176.4;694.6;231.1;924.3;815.1;3153.3;813.3;2995.0;2067.9;6733.3;1240.8;3420.2;1298.2;3421.6;-;-;144.0;573.4;290.1;1178.3;303.5;1214.1;631.0;2492.8;2420.7;8815.4;1098.9;3434.9;1503.1;3943.6;-;-
"Primorje- Slovenska Istra";79.2;305.2;105.8;406.2;211.4;758.1;234.4;809.0;391.0;1236.4;246.2;677.3;357.5;1028.1;-;-;39.2;157.7;82.3;314.9;83.6;324.2;257.7;973.2;675.1;2327.6;146.1;419.8;523.0;1416.1;-;-
"Primorje- Goriška brda (Brda)";41.3;164.9;43.9;180.9;220.5;908.4;228.6;877.9;605.9;2102.2;393.7;1129.8;364.2;973.4;-;-;33.9;139.0;77.5;323.6;96.9;401.5;137.4;579.1;655.5;2544.5;389.4;1300.6;373.8;1056.7;-;-
"Primorje- Kras";14.4;51.4;12.9;54.8;99.5;373.9;80.0;277.8;181.2;561.2;66.2;155.8;138.8;338.0;-;-;5.4;22.2;14.1;57.4;21.2;83.6;54.3;210.2;249.8;843.8;86.5;248.0;144.0;357.5;-;-
"Primorje- Vipavska dolina (Vipava)";41.5;173.1;68.5;282.3;283.7;1113.0;270.2;1030.4;889.8;2833.4;534.8;1457.3;437.9;1082.2;-;-;65.5;254.4;116.1;482.4;101.9;404.8;181.7;730.3;840.3;3099.5;477.0;1466.6;462.3;1113.4;-;-
"Izven vinorodnih okolišev";-;-;0.4;1.9;1.5;5.6;3.4;17.3;7.3;33.0;4.7;19.3;4.8;18.6;-;-;z;z;z;z;z;z;1.8;6.7;9.9;41.0;4.7;18.3;8.8;34.2;-;-

"Vir: Statistièni urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

