"Povr?ina, ?tevilo vinogradov in ?tevilo sadik po: VINORODNA DE?ELA IN"
"OKOLI?, VELIKOSTNI RAZREDI, LETO , MERITVE"

" ";" ";"2009";" ";" ";"2015";" ";" "
" ";" ";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo vinogradov";"?tevilo sadik (v 1000)"
"SLOVENIJA"
" ";"SKUPAJ";16354.3;42970;58914.1;15688.0;49473;57743.2
" ";"< 0,05 ha";88.8;2568;478.3;159.8;4729;655.3
" ";"0,05 do < 0,10 ha";683.1;8984;3257.5;1098.1;14421;4546.9
" ";"0,10 do < 0,20 ha";1797.2;12568;7369.8;1861.4;13034;7022.0
" ";"0,20 do < 0,30 ha";1460.3;5975;5434.1;1382.7;5682;4972.0
" ";"0,30 do < 0,50 ha";2119.7;5518;7620.5;1893.2;4918;6858.8
" ";"0,50 do < 1 ha";3066.5;4432;10885.2;2697.7;3898;10005.2
" ";"1 do < 2 ha";2576.4;1889;9020.8;2457.0;1802;9099.9
" ";"2 do < 3 ha";1165.4;484;4005.8;1160.4;481;4278.8
" ";"3 do < 5 ha";1312.2;351;4383.4;1140.8;307;4072.2
" ";"5 do < 10 ha";1052.7;155;3468.7;1011.8;151;3626.7
" ";"10 do < 20 ha";467.9;35;1520.1;517.9;40;1701.5
" ";"20 do < 30 ha";121.3;5;386.1;z;z;z
" ";">= 30 ha";442.8;6;1083.9;z;z;z
"Podravje"
" ";"SKUPAJ";6943.6;16652;26213.6;6515.7;18957;24802.3
" ";"< 0,05 ha";z;989;z;z;1683;z
" ";"0,05 do < 0,10 ha";263.5;3439;1357.8;456.5;5923;1974.3
" ";"0,10 do < 0,20 ha";716.8;5000;3263.0;702.7;4913;2858.7
" ";"0,20 do < 0,30 ha";561.6;2305;2336.5;505.1;2085;1981.4
" ";"0,30 do < 0,50 ha";757.2;1982;3016.4;648.5;1694;2534.8
" ";"0,50 do < 1 ha";1089.2;1575;4227.0;z;1384;z
" ";"1 do < 2 ha";1046.4;748;3759.9;z;715;z
" ";"2 do < 3 ha";628.5;259;2146.1;596.5;248;2171.2
" ";"3 do < 5 ha";871.5;230;2773.7;763.6;204;2623.3
" ";"5 do < 10 ha";725.7;z;2285.4;590.8;z;2032.4
" ";"10 do < 20 ha";z;z;z;198.5;z;703.0
" ";"20 do < 30 ha";-;-;-;z;z;z
" ";">= 30 ha";z;z;z;-;-;-
"Podravje- ?tajerska Slovenija"
" ";"SKUPAJ";6379.1;13119;23555.5;5990.9;15216;22492.1
" ";"< 0,05 ha";z;547;z;z;1110;z
" ";"0,05 do < 0,10 ha";173.1;2230;865.2;335.6;4329;1427.1
" ";"0,10 do < 0,20 ha";542.8;3746;2388.2;558.5;3887;2219.0
" ";"0,20 do < 0,30 ha";480.2;1965;1949.9;433.9;1787;1661.1
" ";"0,30 do < 0,50 ha";692.6;1807;2720.9;593.0;1545;2289.5
" ";"0,50 do < 1 ha";1037.6;1498;4011.8;916.4;1315;3571.8
" ";"1 do < 2 ha";1017.2;727;3649.9;957.1;693;3565.2
" ";"2 do < 3 ha";606.7;250;2064.5;581.1;z;2111.7
" ";"3 do < 5 ha";854.8;z;2721.4;z;z;z
" ";"5 do < 10 ha";z;z;z;z;z;z
" ";"10 do < 20 ha";z;z;z;198.5;z;703.0
" ";"20 do < 30 ha";-;-;-;z;z;z
" ";">= 30 ha";z;z;z;-;-;-
"Podravje- Prekmurje"
" ";"SKUPAJ";564.6;3533;2658.1;524.8;3741;2310.2
" ";"< 0,05 ha";z;442;z;z;573;z
" ";"0,05 do < 0,10 ha";90.4;1209;492.6;120.9;1594;547.2
