"Povr?ina vinogradov in ?tevilo sadik glede na podlage, vinorodne de?ele, Slovenija, 2009 in 2015"

" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"SLOVENIJA";" ";"Podravje";" ";"Posavje";" ";"Primorje";" ";"Izven vinorodnih de?el";" ";"SLOVENIJA";" ";"Podravje";" ";"Posavje";" ";"Primorje";" ";"Izven vinorodnih de?el";" "
" ";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)"
"Riparia portalis";4.9;16.4;1.3;4.7;0.7;2.3;2.9;9.4;-;-;5.9;21.6;2.2;8.0;1.4;6.0;2.3;7.6;-;-
"Rupestris du lot";29.3;85.0;z;z;z;z;z;z;-;-;62.4;178.8;z;z;z;z;61.2;174.3;-;-
"Kober 125aa";47.0;164.0;26.0;105.9;z;z;z;z;z;z;71.2;254.3;40.3;161.7;z;z;z;z;z;z
"Kober 5bb";3324.7;12664.2;2188.7;8774.4;z;2030.4;621.4;z;z;z;3461.6;13161.3;2275.1;8996.1;494.0;1930.2;690.2;2225.3;2.3;9.6
"420 a";188.6;734.4;-;-;z;z;z;z;-;-;212.1;805.8;z;z;z;z;209.8;796.1;-;-
"So4";3908.8;14886.4;671.9;2713.4;769.0;3380.7;2464.2;8772.9;3.7;19.5;5302.6;19984.3;908.8;3585.6;991.4;4272.5;3397.8;12107.8;4.6;18.5
"Teleki 8b";2.4;8.8;z;z;z;z;-;-;-;-;3.8;14.9;2.8;11.5;1.1;3.4;-;-;-;-
"Teleki 5 c";63.9;258.9;50.0;200.9;12.4;51.8;z;z;z;z;78.6;317.9;65.7;264.4;z;z;z;z;z;z
"V-m";0.4;1.7;-;-;0.4;1.7;-;-;-;-;0.7;2.7;-;-;z;z;z;z;-;-
"Vi-m";3.3;14.5;z;z;z;z;-;-;-;-;5.6;24.9;0.5;2.2;5.1;22.8;-;-;-;-
"Binova";37.3;158.0;19.6;81.4;13.3;60.6;4.4;15.9;-;-;128.5;531.4;81.2;329.2;35.0;152.4;12.3;49.8;-;-
"8 b?";2.4;10.7;-;-;z;z;-;-;z;z;3.8;16.1;-;-;z;z;-;-;z;z
"Boerner";1.6;6.3;z;z;-;-;z;z;-;-;2.0;8.1;z;z;z;z;z;z;-;-
"Paulsen 1103";z;z;z;z;z;z;z;z;-;-;111.8;428.4;z;z;13.0;59.9;z;z;z;z
"Richter 99";6.1;25.9;-;-;0.1;0.3;6.0;25.6;-;-;5.9;24.4;-;-;0.1;0.4;5.8;23.9;-;-
"Richter 110";55.6;210.1;z;z;-;-;z;z;-;-;131.9;517.2;z;z;-;-;z;z;-;-
"3309 couderc";34.3;135.2;z;z;-;-;z;z;-;-;z;z;z;z;-;-;z;z;-;-
"41 b";z;z;z;z;-;-;z;z;-;-;z;z;z;z;-;-;z;z;-;-
"Ni podatka";8544.5;29160.2;3981.4;14313.7;1420.4;5666.0;3125.1;9107.4;17.6;73.1;6063.4;21306.0;3132.3;11415.8;1193.2;4655.7;1719.3;5161.0;18.5;73.4
