TIME,GEO,SEX,AGE,UNIT,Value
2007,Belgium,Males,Less than 1 year,Year,77.1
2007,Belgium,Males,1 year,Year,76.4
2007,Belgium,Males,2 years,Year,75.4
2007,Belgium,Males,3 years,Year,74.5
2007,Belgium,Males,4 years,Year,73.5
2007,Belgium,Males,5 years,Year,72.5
2007,Belgium,Males,6 years,Year,71.5
2007,Belgium,Males,7 years,Year,70.5
2007,Belgium,Males,8 years,Year,69.5
2007,Belgium,Males,9 years,Year,68.5
2007,Belgium,Males,10 years,Year,67.5
2007,Belgium,Males,11 years,Year,66.5
2007,Belgium,Males,12 years,Year,65.5
2007,Belgium,Males,13 years,Year,64.6
2007,Belgium,Males,14 years,Year,63.6
2007,Belgium,Males,15 years,Year,62.6
2007,Belgium,Males,16 years,Year,61.6
2007,Belgium,Males,17 years,Year,60.6
2007,Belgium,Males,18 years,Year,59.6
2007,Belgium,Males,19 years,Year,58.7
2007,Belgium,Males,20 years,Year,57.7
2007,Belgium,Males,21 years,Year,56.8
2007,Belgium,Males,22 years,Year,55.8
2007,Belgium,Males,23 years,Year,54.9
2007,Belgium,Males,24 years,Year,53.9
2007,Belgium,Males,25 years,Year,53
2007,Belgium,Males,26 years,Year,52
2007,Belgium,Males,27 years,Year,51.1
2007,Belgium,Males,28 years,Year,50.1
2007,Belgium,Males,29 years,Year,49.1
2007,Belgium,Males,30 years,Year,48.2
2007,Belgium,Males,31 years,Year,47.2
2007,Belgium,Males,32 years,Year,46.3
2007,Belgium,Males,33 years,Year,45.3
2007,Belgium,Males,34 years,Year,44.4
2007,Belgium,Males,35 years,Year,43.4
2007,Belgium,Males,36 years,Year,42.5
2007,Belgium,Males,37 years,Year,41.5
2007,Belgium,Males,38 years,Year,40.6
2007,Belgium,Males,39 years,Year,39.6
2007,Belgium,Males,40 years,Year,38.7
2007,Belgium,Males,41 years,Year,37.7
2007,Belgium,Males,42 years,Year,36.8
2007,Belgium,Males,43 years,Year,35.9
2007,Belgium,Males,44 years,Year,34.9
2007,Belgium,Males,45 years,Year,34
2007,Belgium,Males,46 years,Year,33.1
2007,Belgium,Males,47 years,Year,32.2
2007,Belgium,Males,48 years,Year,31.3
2007,Belgium,Males,49 years,Year,30.4
2007,Belgium,Males,50 years,Year,29.5
2007,Belgium,Males,51 years,Year,28.6
2007,Belgium,Males,52 years,Year,27.8
2007,Belgium,Males,53 years,Year,26.9
2007,Belgium,Males,54 years,Year,26.1
2007,Belgium,Males,55 years,Year,25.2
2007,Belgium,Males,56 years,Year,24.4
2007,Belgium,Males,57 years,Year,23.6
2007,Belgium,Males,58 years,Year,22.8
2007,Belgium,Males,59 years,Year,21.9
2007,Belgium,Males,60 years,Year,21.1
2007,Belgium,Males,61 years,Year,20.4
2007,Belgium,Males,62 years,Year,19.6
2007,Belgium,Males,63 years,Year,18.8
2007,Belgium,Males,64 years,Year,18.1
2007,Belgium,Males,65 years,Year,17.3
2007,Belgium,Males,66 years,Year,16.6
2007,Belgium,Males,67 years,Year,15.9
2007,Belgium,Males,68 years,Year,15.1
2007,Belgium,Males,69 years,Year,14.4
2007,Belgium,Males,70 years,Year,13.8
2007,Belgium,Males,71 years,Year,13.1
2007,Belgium,Males,72 years,Year,12.4
2007,Belgium,Males,73 years,Year,11.7
2007,Belgium,Males,74 years,Year,11.1
2007,Belgium,Males,75 years,Year,10.5
2007,Belgium,Males,76 years,Year,9.9
2007,Belgium,Males,77 years,Year,9.4
2007,Belgium,Males,78 years,Year,8.8
2007,Belgium,Males,79 years,Year,8.3
2007,Belgium,Males,80 years,Year,7.8
2007,Belgium,Males,81 years,Year,7.3
2007,Belgium,Males,82 years,Year,6.9
2007,Belgium,Males,83 years,Year,6.5
2007,Belgium,Males,84 years,Year,6.1
2007,Belgium,Males,85 years or over,Year,5.7
2007,Belgium,Females,Less than 1 year,Year,82.6
2007,Belgium,Females,1 year,Year,81.9
2007,Belgium,Females,2 years,Year,80.9
2007,Belgium,Females,3 years,Year,79.9
2007,Belgium,Females,4 years,Year,78.9
2007,Belgium,Females,5 years,Year,77.9
2007,Belgium,Females,6 years,Year,76.9
2007,Belgium,Females,7 years,Year,75.9
2007,Belgium,Females,8 years,Year,75
2007,Belgium,Females,9 years,Year,74
2007,Belgium,Females,10 years,Year,73
2007,Belgium,Females,11 years,Year,72
2007,Belgium,Females,12 years,Year,71
2007,Belgium,Females,13 years,Year,70
2007,Belgium,Females,14 years,Year,69
2007,Belgium,Females,15 years,Year,68
2007,Belgium,Females,16 years,Year,67
2007,Belgium,Females,17 years,Year,66
2007,Belgium,Females,18 years,Year,65
2007,Belgium,Females,19 years,Year,64.1
2007,Belgium,Females,20 years,Year,63.1
2007,Belgium,Females,21 years,Year,62.1
2007,Belgium,Females,22 years,Year,61.1
2007,Belgium,Females,23 years,Year,60.1
2007,Belgium,Females,24 years,Year,59.2
2007,Belgium,Females,25 years,Year,58.2
2007,Belgium,Females,26 years,Year,57.2
2007,Belgium,Females,27 years,Year,56.2
2007,Belgium,Females,28 years,Year,55.2
2007,Belgium,Females,29 years,Year,54.2
2007,Belgium,Females,30 years,Year,53.3
2007,Belgium,Females,31 years,Year,52.3
2007,Belgium,Females,32 years,Year,51.3
2007,Belgium,Females,33 years,Year,50.3
2007,Belgium,Females,34 years,Year,49.4
2007,Belgium,Females,35 years,Year,48.4
2007,Belgium,Females,36 years,Year,47.4
2007,Belgium,Females,37 years,Year,46.4
2007,Belgium,Females,38 years,Year,45.5
2007,Belgium,Females,39 years,Year,44.5
2007,Belgium,Females,40 years,Year,43.5
2007,Belgium,Females,41 years,Year,42.6
2007,Belgium,Females,42 years,Year,41.6
2007,Belgium,Females,43 years,Year,40.7
2007,Belgium,Females,44 years,Year,39.7
2007,Belgium,Females,45 years,Year,38.8
2007,Belgium,Females,46 years,Year,37.8
2007,Belgium,Females,47 years,Year,36.9
2007,Belgium,Females,48 years,Year,36
2007,Belgium,Females,49 years,Year,35.1
2007,Belgium,Females,50 years,Year,34.1
2007,Belgium,Females,51 years,Year,33.2
2007,Belgium,Females,52 years,Year,32.3
2007,Belgium,Females,53 years,Year,31.4
2007,Belgium,Females,54 years,Year,30.5
2007,Belgium,Females,55 years,Year,29.6
2007,Belgium,Females,56 years,Year,28.8
2007,Belgium,Females,57 years,Year,27.9
2007,Belgium,Females,58 years,Year,27
2007,Belgium,Females,59 years,Year,26.1
2007,Belgium,Females,60 years,Year,25.3
2007,Belgium,Females,61 years,Year,24.4
2007,Belgium,Females,62 years,Year,23.5
2007,Belgium,Females,63 years,Year,22.7
2007,Belgium,Females,64 years,Year,21.8
2007,Belgium,Females,65 years,Year,21
2007,Belgium,Females,66 years,Year,20.2
2007,Belgium,Females,67 years,Year,19.3
2007,Belgium,Females,68 years,Year,18.5
2007,Belgium,Females,69 years,Year,17.7
2007,Belgium,Females,70 years,Year,16.9
2007,Belgium,Females,71 years,Year,16.1
2007,Belgium,Females,72 years,Year,15.3
2007,Belgium,Females,73 years,Year,14.5
2007,Belgium,Females,74 years,Year,13.8
2007,Belgium,Females,75 years,Year,13
2007,Belgium,Females,76 years,Year,12.3
2007,Belgium,Females,77 years,Year,11.6
2007,Belgium,Females,78 years,Year,10.9
2007,Belgium,Females,79 years,Year,10.3
2007,Belgium,Females,80 years,Year,9.6
2007,Belgium,Females,81 years,Year,9
2007,Belgium,Females,82 years,Year,8.4
2007,Belgium,Females,83 years,Year,7.9
2007,Belgium,Females,84 years,Year,7.4
2007,Belgium,Females,85 years or over,Year,6.9
2007,Bulgaria,Males,Less than 1 year,Year,69.5
2007,Bulgaria,Males,1 year,Year,69.3
2007,Bulgaria,Males,2 years,Year,68.4
2007,Bulgaria,Males,3 years,Year,67.4
2007,Bulgaria,Males,4 years,Year,66.4
2007,Bulgaria,Males,5 years,Year,65.4
2007,Bulgaria,Males,6 years,Year,64.5
2007,Bulgaria,Males,7 years,Year,63.5
2007,Bulgaria,Males,8 years,Year,62.5
2007,Bulgaria,Males,9 years,Year,61.5
2007,Bulgaria,Males,10 years,Year,60.5
2007,Bulgaria,Males,11 years,Year,59.5
2007,Bulgaria,Males,12 years,Year,58.6
2007,Bulgaria,Males,13 years,Year,57.6
2007,Bulgaria,Males,14 years,Year,56.6
2007,Bulgaria,Males,15 years,Year,55.6
2007,Bulgaria,Males,16 years,Year,54.6
2007,Bulgaria,Males,17 years,Year,53.7
2007,Bulgaria,Males,18 years,Year,52.7
2007,Bulgaria,Males,19 years,Year,51.8
2007,Bulgaria,Males,20 years,Year,50.8
2007,Bulgaria,Males,21 years,Year,49.9
2007,Bulgaria,Males,22 years,Year,48.9
2007,Bulgaria,Males,23 years,Year,48
2007,Bulgaria,Males,24 years,Year,47
2007,Bulgaria,Males,25 years,Year,46.1
2007,Bulgaria,Males,26 years,Year,45.2
2007,Bulgaria,Males,27 years,Year,44.2
2007,Bulgaria,Males,28 years,Year,43.3
2007,Bulgaria,Males,29 years,Year,42.3
2007,Bulgaria,Males,30 years,Year,41.4
2007,Bulgaria,Males,31 years,Year,40.5
2007,Bulgaria,Males,32 years,Year,39.5
2007,Bulgaria,Males,33 years,Year,38.6
2007,Bulgaria,Males,34 years,Year,37.6
2007,Bulgaria,Males,35 years,Year,36.7
2007,Bulgaria,Males,36 years,Year,35.8
2007,Bulgaria,Males,37 years,Year,34.8
2007,Bulgaria,Males,38 years,Year,33.9
2007,Bulgaria,Males,39 years,Year,33
2007,Bulgaria,Males,40 years,Year,32.1
2007,Bulgaria,Males,41 years,Year,31.2
2007,Bulgaria,Males,42 years,Year,30.3
2007,Bulgaria,Males,43 years,Year,29.4
2007,Bulgaria,Males,44 years,Year,28.5
2007,Bulgaria,Males,45 years,Year,27.7
2007,Bulgaria,Males,46 years,Year,26.8
2007,Bulgaria,Males,47 years,Year,26
2007,Bulgaria,Males,48 years,Year,25.1
2007,Bulgaria,Males,49 years,Year,24.3
2007,Bulgaria,Males,50 years,Year,23.5
2007,Bulgaria,Males,51 years,Year,22.8
2007,Bulgaria,Males,52 years,Year,22
2007,Bulgaria,Males,53 years,Year,21.3
2007,Bulgaria,Males,54 years,Year,20.5
2007,Bulgaria,Males,55 years,Year,19.8
2007,Bulgaria,Males,56 years,Year,19.1
2007,Bulgaria,Males,57 years,Year,18.4
2007,Bulgaria,Males,58 years,Year,17.7
2007,Bulgaria,Males,59 years,Year,17.1
2007,Bulgaria,Males,60 years,Year,16.4
2007,Bulgaria,Males,61 years,Year,15.8
2007,Bulgaria,Males,62 years,Year,15.2
2007,Bulgaria,Males,63 years,Year,14.5
2007,Bulgaria,Males,64 years,Year,13.9
2007,Bulgaria,Males,65 years,Year,13.3
2007,Bulgaria,Males,66 years,Year,12.7
2007,Bulgaria,Males,67 years,Year,12.1
2007,Bulgaria,Males,68 years,Year,11.6
2007,Bulgaria,Males,69 years,Year,11
2007,Bulgaria,Males,70 years,Year,10.5
2007,Bulgaria,Males,71 years,Year,10
2007,Bulgaria,Males,72 years,Year,9.4
2007,Bulgaria,Males,73 years,Year,8.9
2007,Bulgaria,Males,74 years,Year,8.5
2007,Bulgaria,Males,75 years,Year,8
2007,Bulgaria,Males,76 years,Year,7.5
2007,Bulgaria,Males,77 years,Year,7.1
2007,Bulgaria,Males,78 years,Year,6.7
2007,Bulgaria,Males,79 years,Year,6.2
2007,Bulgaria,Males,80 years,Year,5.9
2007,Bulgaria,Males,81 years,Year,5.5
2007,Bulgaria,Males,82 years,Year,5.2
2007,Bulgaria,Males,83 years,Year,4.9
2007,Bulgaria,Males,84 years,Year,4.6
2007,Bulgaria,Males,85 years or over,Year,4.3
2007,Bulgaria,Females,Less than 1 year,Year,76.6
2007,Bulgaria,Females,1 year,Year,76.3
2007,Bulgaria,Females,2 years,Year,75.4
2007,Bulgaria,Females,3 years,Year,74.4
2007,Bulgaria,Females,4 years,Year,73.5
2007,Bulgaria,Females,5 years,Year,72.5
2007,Bulgaria,Females,6 years,Year,71.5
2007,Bulgaria,Females,7 years,Year,70.5
2007,Bulgaria,Females,8 years,Year,69.5
2007,Bulgaria,Females,9 years,Year,68.5
2007,Bulgaria,Females,10 years,Year,67.6
2007,Bulgaria,Females,11 years,Year,66.6
2007,Bulgaria,Females,12 years,Year,65.6
2007,Bulgaria,Females,13 years,Year,64.6
2007,Bulgaria,Females,14 years,Year,63.6
2007,Bulgaria,Females,15 years,Year,62.6
2007,Bulgaria,Females,16 years,Year,61.6
2007,Bulgaria,Females,17 years,Year,60.7
2007,Bulgaria,Females,18 years,Year,59.7
2007,Bulgaria,Females,19 years,Year,58.7
2007,Bulgaria,Females,20 years,Year,57.7
2007,Bulgaria,Females,21 years,Year,56.8
2007,Bulgaria,Females,22 years,Year,55.8
2007,Bulgaria,Females,23 years,Year,54.8
2007,Bulgaria,Females,24 years,Year,53.8
2007,Bulgaria,Females,25 years,Year,52.9
2007,Bulgaria,Females,26 years,Year,51.9
2007,Bulgaria,Females,27 years,Year,50.9
2007,Bulgaria,Females,28 years,Year,49.9
2007,Bulgaria,Females,29 years,Year,49
2007,Bulgaria,Females,30 years,Year,48
2007,Bulgaria,Females,31 years,Year,47
2007,Bulgaria,Females,32 years,Year,46.1
2007,Bulgaria,Females,33 years,Year,45.1
2007,Bulgaria,Females,34 years,Year,44.1
2007,Bulgaria,Females,35 years,Year,43.2
2007,Bulgaria,Females,36 years,Year,42.2
2007,Bulgaria,Females,37 years,Year,41.2
2007,Bulgaria,Females,38 years,Year,40.3
2007,Bulgaria,Females,39 years,Year,39.4
2007,Bulgaria,Females,40 years,Year,38.4
2007,Bulgaria,Females,41 years,Year,37.4
2007,Bulgaria,Females,42 years,Year,36.5
2007,Bulgaria,Females,43 years,Year,35.6
2007,Bulgaria,Females,44 years,Year,34.6
2007,Bulgaria,Females,45 years,Year,33.7
2007,Bulgaria,Females,46 years,Year,32.8
2007,Bulgaria,Females,47 years,Year,31.9
2007,Bulgaria,Females,48 years,Year,31
2007,Bulgaria,Females,49 years,Year,30.1
2007,Bulgaria,Females,50 years,Year,29.2
2007,Bulgaria,Females,51 years,Year,28.3
2007,Bulgaria,Females,52 years,Year,27.4
2007,Bulgaria,Females,53 years,Year,26.5
2007,Bulgaria,Females,54 years,Year,25.6
2007,Bulgaria,Females,55 years,Year,24.8
2007,Bulgaria,Females,56 years,Year,23.9
2007,Bulgaria,Females,57 years,Year,23.1
2007,Bulgaria,Females,58 years,Year,22.2
2007,Bulgaria,Females,59 years,Year,21.4
2007,Bulgaria,Females,60 years,Year,20.5
2007,Bulgaria,Females,61 years,Year,19.7
2007,Bulgaria,Females,62 years,Year,18.9
2007,Bulgaria,Females,63 years,Year,18.1
2007,Bulgaria,Females,64 years,Year,17.3
2007,Bulgaria,Females,65 years,Year,16.5
2007,Bulgaria,Females,66 years,Year,15.7
2007,Bulgaria,Females,67 years,Year,14.9
2007,Bulgaria,Females,68 years,Year,14.2
2007,Bulgaria,Females,69 years,Year,13.4
2007,Bulgaria,Females,70 years,Year,12.7
2007,Bulgaria,Females,71 years,Year,12
2007,Bulgaria,Females,72 years,Year,11.3
2007,Bulgaria,Females,73 years,Year,10.6
2007,Bulgaria,Females,74 years,Year,10
2007,Bulgaria,Females,75 years,Year,9.4
2007,Bulgaria,Females,76 years,Year,8.8
2007,Bulgaria,Females,77 years,Year,8.2
2007,Bulgaria,Females,78 years,Year,7.7
2007,Bulgaria,Females,79 years,Year,7.2
2007,Bulgaria,Females,80 years,Year,6.7
2007,Bulgaria,Females,81 years,Year,6.3
2007,Bulgaria,Females,82 years,Year,5.9
2007,Bulgaria,Females,83 years,Year,5.5
2007,Bulgaria,Females,84 years,Year,5.2
2007,Bulgaria,Females,85 years or over,Year,4.9
2007,Czech Republic,Males,Less than 1 year,Year,73.8
2007,Czech Republic,Males,1 year,Year,73
2007,Czech Republic,Males,2 years,Year,72.1
2007,Czech Republic,Males,3 years,Year,71.1
2007,Czech Republic,Males,4 years,Year,70.1
2007,Czech Republic,Males,5 years,Year,69.1
2007,Czech Republic,Males,6 years,Year,68.1
2007,Czech Republic,Males,7 years,Year,67.1
2007,Czech Republic,Males,8 years,Year,66.1
2007,Czech Republic,Males,9 years,Year,65.1
2007,Czech Republic,Males,10 years,Year,64.1
2007,Czech Republic,Males,11 years,Year,63.2
2007,Czech Republic,Males,12 years,Year,62.2
2007,Czech Republic,Males,13 years,Year,61.2
2007,Czech Republic,Males,14 years,Year,60.2
2007,Czech Republic,Males,15 years,Year,59.2
2007,Czech Republic,Males,16 years,Year,58.2
2007,Czech Republic,Males,17 years,Year,57.2
2007,Czech Republic,Males,18 years,Year,56.3
2007,Czech Republic,Males,19 years,Year,55.3
2007,Czech Republic,Males,20 years,Year,54.3
2007,Czech Republic,Males,21 years,Year,53.4
2007,Czech Republic,Males,22 years,Year,52.5
2007,Czech Republic,Males,23 years,Year,51.5
2007,Czech Republic,Males,24 years,Year,50.6
2007,Czech Republic,Males,25 years,Year,49.6
2007,Czech Republic,Males,26 years,Year,48.7
2007,Czech Republic,Males,27 years,Year,47.7
2007,Czech Republic,Males,28 years,Year,46.7
2007,Czech Republic,Males,29 years,Year,45.8
2007,Czech Republic,Males,30 years,Year,44.8
2007,Czech Republic,Males,31 years,Year,43.9
2007,Czech Republic,Males,32 years,Year,42.9
2007,Czech Republic,Males,33 years,Year,42
2007,Czech Republic,Males,34 years,Year,41
2007,Czech Republic,Males,35 years,Year,40.1
2007,Czech Republic,Males,36 years,Year,39.1
2007,Czech Republic,Males,37 years,Year,38.2
2007,Czech Republic,Males,38 years,Year,37.2
