TIME,GEO,UNIT,ICHA11_HC,Value
2007,Belgium,Euro per inhabitant,Current health care expenditure (CHE),2903.49
2007,Belgium,Euro per inhabitant,Curative care and rehabilitative care,1413.77
2007,Belgium,Euro per inhabitant,Curative care,1248.72
2007,Belgium,Euro per inhabitant,Inpatient curative and rehabilitative care,806.71
2007,Belgium,Euro per inhabitant,Inpatient curative care,736.42
2007,Belgium,Euro per inhabitant,Day curative and rehabilitative care,41.91
2007,Belgium,Euro per inhabitant,Day curative care,19.61
2007,Belgium,Euro per inhabitant,Outpatient curative and rehabilitative care,531.8
2007,Belgium,Euro per inhabitant,Outpatient curative care,492.69
2007,Belgium,Euro per inhabitant,General outpatient curative care,214.98
2007,Belgium,Euro per inhabitant,Dental outpatient curative care,75.98
2007,Belgium,Euro per inhabitant,Specialised outpatient curative care,201.73
2007,Belgium,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Belgium,Euro per inhabitant,Home-based curative and rehabilitative care,33.34
2007,Belgium,Euro per inhabitant,Home-based curative care,:
2007,Belgium,Euro per inhabitant,Rehabilitative care,165.05
2007,Belgium,Euro per inhabitant,Inpatient rehabilitative care,70.3
2007,Belgium,Euro per inhabitant,Day rehabilitative care,22.3
2007,Belgium,Euro per inhabitant,Outpatient rehabilitative care,39.11
2007,Belgium,Euro per inhabitant,Home-based rehabilitative care,33.34
2007,Belgium,Euro per inhabitant,Long-term care (health),675.29
2007,Belgium,Euro per inhabitant,Inpatient long-term care (health),431.63
2007,Belgium,Euro per inhabitant,Day long-term care (health),0.95
2007,Belgium,Euro per inhabitant,Outpatient long-term care (health),21.58
2007,Belgium,Euro per inhabitant,Home-based long-term care (health),221.12
2007,Belgium,Euro per inhabitant,Ancillary services (non-specified by function),111
2007,Belgium,Euro per inhabitant,Laboratory services,71.98
2007,Belgium,Euro per inhabitant,Imaging services,29.77
2007,Belgium,Euro per inhabitant,Patient transportation,9.25
2007,Belgium,Euro per inhabitant,Medical goods (non-specified by function),531.67
2007,Belgium,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,484.2
2007,Belgium,Euro per inhabitant,Prescribed medicines,407.53
2007,Belgium,Euro per inhabitant,Over-the-counter medicines,73.88
2007,Belgium,Euro per inhabitant,Other medical non-durable goods,2.79
2007,Belgium,Euro per inhabitant,Therapeutic appliances and other medical durable goods,47.47
2007,Belgium,Euro per inhabitant,Preventive care,51.68
2007,Belgium,Euro per inhabitant,"Information, education and counseling programmes",29.71
2007,Belgium,Euro per inhabitant,Immunisation programmes,2.52
2007,Belgium,Euro per inhabitant,Early disease detection programmes,0.09
2007,Belgium,Euro per inhabitant,Healthy condition monitoring programmes,8.56
2007,Belgium,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,8.11
2007,Belgium,Euro per inhabitant,Preparing for disaster and emergency response programmes,2.68
2007,Belgium,Euro per inhabitant,Governance and health system and financing administration,120.09
2007,Belgium,Euro per inhabitant,Governance and health system administration,8.55
2007,Belgium,Euro per inhabitant,Administration of health financing,111.54
2007,Belgium,Euro per inhabitant,Other health care services unknown,:
2007,Belgium,Euro per inhabitant,Long-term care (social),:
2007,Bulgaria,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Bulgaria,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Curative care,:
2007,Bulgaria,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Inpatient curative care,:
2007,Bulgaria,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Day curative care,:
2007,Bulgaria,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Outpatient curative care,:
2007,Bulgaria,Euro per inhabitant,General outpatient curative care,:
2007,Bulgaria,Euro per inhabitant,Dental outpatient curative care,:
2007,Bulgaria,Euro per inhabitant,Specialised outpatient curative care,:
2007,Bulgaria,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Bulgaria,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Home-based curative care,:
2007,Bulgaria,Euro per inhabitant,Rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Day rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Home-based rehabilitative care,:
2007,Bulgaria,Euro per inhabitant,Long-term care (health),:
2007,Bulgaria,Euro per inhabitant,Inpatient long-term care (health),:
2007,Bulgaria,Euro per inhabitant,Day long-term care (health),:
2007,Bulgaria,Euro per inhabitant,Outpatient long-term care (health),:
2007,Bulgaria,Euro per inhabitant,Home-based long-term care (health),:
2007,Bulgaria,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Bulgaria,Euro per inhabitant,Laboratory services,:
2007,Bulgaria,Euro per inhabitant,Imaging services,:
2007,Bulgaria,Euro per inhabitant,Patient transportation,:
2007,Bulgaria,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Bulgaria,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Bulgaria,Euro per inhabitant,Prescribed medicines,:
2007,Bulgaria,Euro per inhabitant,Over-the-counter medicines,:
2007,Bulgaria,Euro per inhabitant,Other medical non-durable goods,:
2007,Bulgaria,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Bulgaria,Euro per inhabitant,Preventive care,:
2007,Bulgaria,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Bulgaria,Euro per inhabitant,Immunisation programmes,:
