TIME,GEO,UNIT,ICHA11_HP,Value
2007,Belgium,Euro per inhabitant,All providers of health care,2903.49
2007,Belgium,Euro per inhabitant,Hospitals,931.49
2007,Belgium,Euro per inhabitant,General hospitals,830.89
2007,Belgium,Euro per inhabitant,Mental health hospitals,96.66
2007,Belgium,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),3.94
2007,Belgium,Euro per inhabitant,Residential long-term care facilities,433.16
2007,Belgium,Euro per inhabitant,Long-term nursing care facilities,311.38
2007,Belgium,Euro per inhabitant,Mental health and substance abuse facilities,10.89
2007,Belgium,Euro per inhabitant,Other residential long-term care facilities,110.89
2007,Belgium,Euro per inhabitant,Providers of ambulatory health care,836.7
2007,Belgium,Euro per inhabitant,Medical practices,407.13
2007,Belgium,Euro per inhabitant,Dental practice,96.3
2007,Belgium,Euro per inhabitant,Other health care practitioners,95.15
2007,Belgium,Euro per inhabitant,Ambulatory health care centres,29.14
2007,Belgium,Euro per inhabitant,Providers of home health care services,208.98
2007,Belgium,Euro per inhabitant,Providers of ancillary services,78.1
2007,Belgium,Euro per inhabitant,Providers of patient transportation and emergency rescue,9.24
2007,Belgium,Euro per inhabitant,Medical and diagnostic laboratories,7.53
2007,Belgium,Euro per inhabitant,Other providers of ancillary services,61.33
2007,Belgium,Euro per inhabitant,Retailers and other providers of medical goods,447.66
2007,Belgium,Euro per inhabitant,Pharmacies,425.69
2007,Belgium,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,2.82
2007,Belgium,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,19.15
2007,Belgium,Euro per inhabitant,Providers of preventive care,21.45
2007,Belgium,Euro per inhabitant,Providers of health care system administration and financing,142.12
2007,Belgium,Euro per inhabitant,Government health administration agencies,7.06
2007,Belgium,Euro per inhabitant,Social health insurance agencies,82.08
2007,Belgium,Euro per inhabitant,Private health insurance administration agencies,29.46
2007,Belgium,Euro per inhabitant,Other administration agencies,23.52
2007,Belgium,Euro per inhabitant,Rest of economy,12.8
2007,Belgium,Euro per inhabitant,Households as providers of home health care,11.16
2007,Belgium,Euro per inhabitant,All other industries as secondary providers of health care,1.64
2007,Belgium,Euro per inhabitant,Other industries n.e.c.,:
2007,Belgium,Euro per inhabitant,Rest of the world,:
2007,Belgium,Euro per inhabitant,Providers unknown,:
2007,Bulgaria,Euro per inhabitant,All providers of health care,:
2007,Bulgaria,Euro per inhabitant,Hospitals,:
2007,Bulgaria,Euro per inhabitant,General hospitals,:
2007,Bulgaria,Euro per inhabitant,Mental health hospitals,:
2007,Bulgaria,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Bulgaria,Euro per inhabitant,Residential long-term care facilities,:
2007,Bulgaria,Euro per inhabitant,Long-term nursing care facilities,:
2007,Bulgaria,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Bulgaria,Euro per inhabitant,Other residential long-term care facilities,:
2007,Bulgaria,Euro per inhabitant,Providers of ambulatory health care,:
2007,Bulgaria,Euro per inhabitant,Medical practices,:
2007,Bulgaria,Euro per inhabitant,Dental practice,:
2007,Bulgaria,Euro per inhabitant,Other health care practitioners,:
2007,Bulgaria,Euro per inhabitant,Ambulatory health care centres,:
2007,Bulgaria,Euro per inhabitant,Providers of home health care services,:
2007,Bulgaria,Euro per inhabitant,Providers of ancillary services,:
2007,Bulgaria,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Bulgaria,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Bulgaria,Euro per inhabitant,Other providers of ancillary services,:
2007,Bulgaria,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Bulgaria,Euro per inhabitant,Pharmacies,:
2007,Bulgaria,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Bulgaria,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Bulgaria,Euro per inhabitant,Providers of preventive care,:
2007,Bulgaria,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Bulgaria,Euro per inhabitant,Government health administration agencies,:
2007,Bulgaria,Euro per inhabitant,Social health insurance agencies,:
2007,Bulgaria,Euro per inhabitant,Private health insurance administration agencies,:
2007,Bulgaria,Euro per inhabitant,Other administration agencies,:
2007,Bulgaria,Euro per inhabitant,Rest of economy,:
2007,Bulgaria,Euro per inhabitant,Households as providers of home health care,:
2007,Bulgaria,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Bulgaria,Euro per inhabitant,Other industries n.e.c.,:
2007,Bulgaria,Euro per inhabitant,Rest of the world,:
2007,Bulgaria,Euro per inhabitant,Providers unknown,:
2007,Czech Republic,Euro per inhabitant,All providers of health care,:
2007,Czech Republic,Euro per inhabitant,Hospitals,:
2007,Czech Republic,Euro per inhabitant,General hospitals,:
2007,Czech Republic,Euro per inhabitant,Mental health hospitals,:
2007,Czech Republic,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Czech Republic,Euro per inhabitant,Residential long-term care facilities,:
2007,Czech Republic,Euro per inhabitant,Long-term nursing care facilities,:
