"Pridelava grozdja v vinogradih (ha, število trt, t, t/ha, kg/trto) po:"
"MERITVE, VRSTA GROZDJA , LETO"

" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Površina (ha)"
" ";"Grozdje - skupaj";16602;16602;16602;16556;16556;16428;16428;16086;16086;16086;16351;16351;16351;16085;16009;15692;15824
" ";"Grozdje - bele sorte";12280;12280;12280;11957;11957;11511;11511;10715;10715;10715;11246;11246;11246;11086;11033;10794;10889
" ";"Grozdje - rdeèe sorte";4322;4322;4322;4599;4599;4916;4916;5371;5371;5371;5105;5105;5105;4999;4976;4898;4935
"Število trt (1000)"
" ";"Grozdje - skupaj";53186;53186;53186;54698;54698;53895;53895;55126;55126;55126;57093;57093;57093;60362;60553;59914;60740
" ";"Grozdje - bele sorte";40227;40227;40227;40103;40103;38354;38354;37011;37011;37011;39687;39687;39687;41905;42038;41514;42053
" ";"Grozdje - rdeèe sorte";12959;12959;12959;14595;14595;15542;15542;18115;18115;18115;17406;17406;17406;18457;18515;18400;18687
"Pridelek, skupaj (t)"
" ";"Grozdje - skupaj";126650;106633;122985;104394;134792;120868;105486;122543;105719;112855;108541;121396;92324;100177;94209;117585;94780
" ";"Grozdje - bele sorte";96079;79422;92375;79209;95484;81590;73246;82354;69823;71273;74062;84850;65182;68378;65122;81268;63765
" ";"Grozdje - rdeèe sorte";30571;27211;30610;25185;39308;39278;32240;40189;35896;41582;34479;36546;27141;31799;29087;36318;31015
"Pridelek na ha (t/ha)"
" ";"Grozdje - skupaj";7.6;6.4;7.4;6.3;8.1;7.4;6.4;7.6;6.6;7.0;6.6;7.4;5.6;6.2;5.9;7.5;6.0
" ";"Grozdje - bele sorte";7.8;6.5;7.5;6.6;8.0;7.1;6.4;7.7;6.5;6.7;6.6;7.5;5.8;6.2;5.9;7.5;5.9
" ";"Grozdje - rdeèe sorte";7.1;6.3;7.1;5.5;8.5;8.0;6.6;7.5;6.7;7.6;6.8;7.2;5.3;6.4;5.8;7.4;6.3
"Pridelek na trto (kg/trto)"
" ";"Grozdje - skupaj";2.4;2.0;2.3;1.6;2.5;2.2;2.0;2.2;1.9;2.0;1.9;2.1;1.6;-;-;-;-
" ";"Grozdje - bele sorte";2.4;2.0;2.3;1.6;2.4;2.1;1.9;2.2;1.9;1.9;1.9;2.1;1.6;-;-;-;-
" ";"Grozdje - rdeèe sorte";2.4;2.1;2.4;1.4;2.7;2.5;2.1;2.2;2.0;2.3;2.0;2.1;1.6;-;-;-;-

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8196 target=_blank) Metodološka pojasnila"

