TIME,GEO,UNIT,ICHA11_HF,Value
2007,Belgium,Euro per inhabitant,All financing schemes,2903.49
2007,Belgium,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,2185.79
2007,Belgium,Euro per inhabitant,Government schemes,310.57
2007,Belgium,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),1875.22
2007,Belgium,Euro per inhabitant,Social health insurance schemes,1875.22
2007,Belgium,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Belgium,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Belgium,Euro per inhabitant,Voluntary health care payment schemes,159.24
2007,Belgium,Euro per inhabitant,Voluntary health insurance schemes,153.32
2007,Belgium,Euro per inhabitant,NPISH financing schemes,4.06
2007,Belgium,Euro per inhabitant,Enterprise financing schemes,1.86
2007,Belgium,Euro per inhabitant,Household out-of-pocket payment,558.46
2007,Belgium,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Belgium,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Belgium,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Belgium,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Belgium,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Belgium,Euro per inhabitant,Financing schemes unknown,:
2007,Bulgaria,Euro per inhabitant,All financing schemes,:
2007,Bulgaria,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Bulgaria,Euro per inhabitant,Government schemes,:
2007,Bulgaria,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Bulgaria,Euro per inhabitant,Social health insurance schemes,:
2007,Bulgaria,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Bulgaria,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Bulgaria,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Bulgaria,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Bulgaria,Euro per inhabitant,NPISH financing schemes,:
2007,Bulgaria,Euro per inhabitant,Enterprise financing schemes,:
2007,Bulgaria,Euro per inhabitant,Household out-of-pocket payment,:
2007,Bulgaria,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Bulgaria,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Bulgaria,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Bulgaria,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Bulgaria,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Bulgaria,Euro per inhabitant,Financing schemes unknown,:
2007,Czech Republic,Euro per inhabitant,All financing schemes,:
2007,Czech Republic,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Czech Republic,Euro per inhabitant,Government schemes,:
2007,Czech Republic,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Czech Republic,Euro per inhabitant,Social health insurance schemes,:
2007,Czech Republic,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Czech Republic,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Czech Republic,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Czech Republic,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Czech Republic,Euro per inhabitant,NPISH financing schemes,:
2007,Czech Republic,Euro per inhabitant,Enterprise financing schemes,:
2007,Czech Republic,Euro per inhabitant,Household out-of-pocket payment,:
2007,Czech Republic,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Czech Republic,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Czech Republic,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Czech Republic,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Czech Republic,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Czech Republic,Euro per inhabitant,Financing schemes unknown,:
2007,Denmark,Euro per inhabitant,All financing schemes,:
2007,Denmark,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Denmark,Euro per inhabitant,Government schemes,:
2007,Denmark,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Denmark,Euro per inhabitant,Social health insurance schemes,:
2007,Denmark,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Denmark,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Denmark,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Denmark,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Denmark,Euro per inhabitant,NPISH financing schemes,:
2007,Denmark,Euro per inhabitant,Enterprise financing schemes,:
2007,Denmark,Euro per inhabitant,Household out-of-pocket payment,:
2007,Denmark,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Denmark,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Denmark,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Denmark,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Denmark,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Denmark,Euro per inhabitant,Financing schemes unknown,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,All financing schemes,3050.27
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,2322.21
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Government schemes,213.77
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),2108.44
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Social health insurance schemes,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Compulsory private insurance scheme,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Voluntary health care payment schemes,294.24
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Voluntary health insurance schemes,256.9
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,NPISH financing schemes,25.28
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Enterprise financing schemes,12.06
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Household out-of-pocket payment,433.83
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Cost sharing with third-party payers,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Compulsory schemes (non-resident),:
